Word,Length,Freq_KF,Freq_HAL,Log_Freq_HAL,SUBTLWF,LgSUBTLWF,SUBTLCD,LgSUBTLCD,Ortho_N,Phono_N,Phono_N_H,OG_N,OG_N_H,Freq_N,Freq_N_P,Freq_N_PH,Freq_N_OG,Freq_N_OGH,Freq_Greater,Freq_G_Mean,Freq_Less,Freq_L_Mean,Freq_Rel,OLD,OLDF,PLD,PLDF,Concreteness_Rating,Semantic_Neighborhood_Density,Semantic_Neighbors,Semantic_Diversity,Age_Of_Acquisition,Body_Object_Interaction,Emotional_Valence,Emotional_Arousal,Emotional_Dominance,Assoc_Freq_R1,Assoc_Types_R1,Assoc_Freq_R123,Assoc_Types_R123,BG_Sum,BG_Mean,BG_Freq_By_Pos,Pron,NPhon,NSyll,MorphSp,MorphPr,NMorph,POS,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Zscore,I_NMG_SD,I_NMG_Obs,I_NMG_Mean_Accuracy,Word_IPA
a,1,"23,237","10,610,626",16.177,"20,415.270",6.018,99.930,3.923,1,8,9,1,1,15.8,9.840,9.805,15.790,15.790,0,#,1,15.8,1.02,1.450,9.831,1.000,10.164,1.460,#,#,#,2.893,#,#,#,#,167,59,327,128,#,#,#,"""e",1,1,{a},"{""e}",1,minor|NN,798.917,-0.013,333.849,24,0.73,662.087,-0.323,174.691,23,0.958,ɐ 
aah,3,1,222,5.403,52.710,3.430,7.560,2.803,2,0,0,0,0,7.4,#,0.0,#,#,2,7.4,0,#,0.73,1.850,9.105,3.000,8.584,#,0.208,0,1.069,#,#,#,#,#,#,#,1,1,73,36.500,16,#,#,#,#,,#,#,816.429,0.214,186.029,21,0.62,646.400,-0.349,130.445,25,0.926, ɑː 
Aaron,5,7,"10,806",9.288,14.650,2.874,1.930,2.212,3,2,2,0,0,7.4,6.685,6.685,#,#,0,#,3,7.4,1.25,1.850,7.315,1.600,7.673,#,0.621,"4,405",#,#,#,#,#,#,2,2,7,5,"9,719","2,429.750","1,549","""E.r@n",4,2,{aaron},"{""E.r@n}",1,NN,736.062,-0.111,289.010,32,0.97,686.111,-0.203,179.290,27,1.0, ɛ ɹ ə n 
aback,5,2,387,5.958,0.290,1.204,0.180,1.204,0,2,2,0,0,#,5.369,5.369,#,#,#,#,#,#,#,1.950,7.737,1.850,8.261,1.650,0.305,0,1.587,#,#,#,#,#,3,2,6,5,"4,189","1,047.250",753,"@.b""ak",4,2,{aback},"{@.b""ak}",1,RB,796.267,0.110,171.607,15,0.45,596.538,-0.55,89.453,26,0.963, ɐ b æ k 
abacus,6,#,513,6.24,0.240,1.114,0.120,1.041,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,2.900,7.391,2.900,6.662,4.520,0.298,0,1.644,8.690,4.667,#,#,#,4,2,26,17,"5,372","1,074.400",772,"""a.b@.k@s",6,3,{abacus},"{""a.b@.k@s}",1,NN,964.400,0.655,488.996,15,0.47,792.688,0.309,200.186,16,0.615, æ b æ k ə s 
abandon,7,17,"3,761",8.232,8.100,2.617,3.720,2.495,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,2.900,7.450,2.450,6.970,2.540,0.590,"2,511",2.086,8.320,#,2.840,3.730,3.320,41,27,152,69,"12,222","2,037.000","1,308","@.b""an.4@n",7,3,{abandon},"{@.b""an.4@n}",1,VB|NN,695.719,-0.312,220.412,32,0.97,623.963,-0.516,98.251,27,1.0, ɐ b æ n d ə n 
abandoned,9,25,"5,160",8.549,13.290,2.832,6.410,2.732,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.550,6.329,2.600,6.723,2.520,0.664,"7,627",2.105,8.320,#,#,#,#,51,22,148,61,"18,982","2,372.750","2,150","@.b""an.4@nd",8,3,{abandon}>ed>,"{@.b""an.4@n}>d>",2,VB|JJ,860.774,-0.095,447.558,31,0.91,635.160,-0.487,101.648,25,1.0, ɐ b æ n d ə n d 
abandoning,10,7,"1,005",6.913,1.690,1.940,0.940,1.903,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.700,6.956,3.300,6.594,#,0.555,162,2.104,8.320,#,#,#,#,#,#,2,1,"24,554","2,728.222","2,443","@.b""an.4@n.IN",9,4,{abandon}>ing>,"{@.b""an.4@n}.>IN>",2,VB,740.545,-0.111,288.435,33,1.0,782.783,0.064,218.574,23,0.92, ɐ b æ n d ə n ɪ ŋ 
abandonment,11,10,786,6.667,0.960,1.699,0.540,1.663,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.400,5.761,4.450,6.605,2.540,0.547,0,1.951,10.270,#,2.630,4.950,2.640,#,#,10,8,"20,884","2,088.400","1,798","@.b""an.4@n.m@nt",11,4,{abandon}>ment>,"{@.b""an.4@n}.>m@nt>",2,NN,771.088,-0.002,229.526,34,1.0,794.696,0.211,256.305,23,0.958, ɐ b æ n d ə n m ə n t 
abase,5,#,30,3.401,0.060,0.602,0.040,0.602,3,2,2,1,1,5.3,6.989,6.989,5.631,5.631,2,7.9,1,0.0,0.65,1.800,7.271,1.800,7.779,#,0.256,0,#,14.570,#,#,#,#,3,3,8,7,"5,266","1,316.500",843,"@.b""es",4,2,{a--base},"{@-.-b""es}",2,VB,803.273,0.029,309.517,22,0.69,646.565,-0.356,142.183,23,0.852, ɐ b eɪ s 
abasement,9,2,7,1.946,#,#,#,#,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,2.600,6.409,2.400,5.542,1.670,0.204,0,#,15.131,#,#,#,#,#,#,#,#,"14,852","1,856.500","1,933","@.b""es.m@nt",8,3,{a--base}>ment>,"{@-.-b""es}.>m@nt>",3,NN,"1,037.059",0.923,311.845,17,0.53,809.741,0.409,211.357,27,0.964, ɐ b eɪ s m ə n t 
abash,5,#,1,0.0,#,#,#,#,2,1,1,0,0,4.5,5.958,5.958,#,#,2,4.5,0,#,0.00,1.800,7.337,1.900,8.178,#,0.152,0,#,#,#,#,#,#,#,#,1,1,"4,530","1,132.500",599,"@.b""aS",4,2,{abash},"{@.b""aS}",1,VB,748.714,0.229,194.366,21,0.68,594.429,-0.718,99.566,28,0.966, ɐ b æ ʃ 
abate,5,#,279,5.631,0.100,0.778,0.040,0.602,1,5,5,1,1,3.4,6.973,6.973,3.401,3.401,0,#,1,3.4,1.66,1.850,7.468,1.700,7.790,#,0.274,0,1.532,14.440,#,#,#,#,2,2,10,10,"10,359","2,589.750","1,174","@.b""et",4,2,{abate},"{@.b""et}",1,VB,719.542,-0.092,180.883,24,0.71,668.393,-0.307,201.537,28,1.0, ɐ b eɪ t 
abated,6,1,144,4.97,0.080,0.699,0.050,0.699,0,2,2,0,0,#,5.783,5.783,#,#,#,#,#,#,#,1.950,6.786,1.850,6.966,#,0.299,0,1.866,14.440,#,#,#,#,#,#,#,#,"14,844","2,968.800","1,860","@.b""e4.@d",6,3,{abate}>ed>,"{@.b""e4}.>@d>",2,VB,894.227,0.450,289.821,22,0.69,693.280,-0.158,172.493,25,0.962, ɐ b eɪ ɾ ᵻ d 
abbess,6,#,33,3.497,0.040,0.477,0.020,0.477,0,2,2,0,0,#,7.537,7.537,#,#,#,#,#,#,#,2.650,7.134,1.900,7.998,#,0.412,0,0.861,15.430,#,#,#,#,#,#,4,4,"8,099","1,619.800",881,"""a.b@s",4,2,{abbess},"{""a.b@s}",1,NN,885.143,0.284,324.200,7,0.22,797.000,0.061,248.277,14,0.56, æ b ɛ s 
abbey,5,7,"2,286",7.735,3.180,2.212,0.630,1.732,0,4,4,0,0,#,6.223,6.223,#,#,#,#,#,#,#,2.150,7.169,1.550,8.197,#,0.606,"3,686",1.495,13.060,#,5.850,2.200,5.000,22,13,49,20,"2,275",568.750,320,"""a.bi",3,2,{abbey},"{""a.bi}",1,NN,726.190,-0.103,235.913,21,0.66,682.565,-0.161,152.263,23,0.92, æ b i 
abbot,5,2,616,6.423,0.840,1.643,0.290,1.398,0,1,1,0,0,#,3.497,3.497,#,#,#,#,#,#,#,2.350,7.678,1.850,8.338,#,0.569,524,1.069,12.104,#,#,#,#,#,#,#,#,"2,850",712.500,349,"""a.b@t",4,2,{abbot},"{""a.b@t}",1,NN,808.583,0.207,268.646,24,0.71,750.130,0.037,167.886,23,0.821, æ b ə t 
abbreviate,10,#,203,5.313,0.020,0.301,0.010,0.301,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.050,5.999,3.700,6.390,2.590,0.215,0,#,9.950,#,#,#,#,5,1,13,6,"17,241","1,915.667","1,877","@.br""i.vi.et",8,4,{a--bbrevi--ate},"{@-.-br""i.vi-.-et}",3,VB,795.032,0.158,316.551,31,0.94,708.444,-0.085,156.292,27,0.964, ɐ b ɹ iː v ɪ eɪ t 
abbreviated,11,1,"1,214",7.102,0.310,1.230,0.170,1.176,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.200,6.251,4.150,6.461,3.100,0.582,"1,643",1.825,10.500,#,#,#,#,1,1,12,11,"21,726","2,172.600","2,120","@.br""i.vi.%e4.@d",10,5,{a--bbrevi--ate}>ed>,"{@-.-br""i.vi-.-%e4}.>@d>",4,JJ|VB,698.452,-0.250,170.368,31,0.94,695.630,-0.264,201.226,27,1.0, ɐ b ɹ iː v ɪ eɪ ɾ ᵻ d 
abbreviation,12,1,"1,908",7.554,0.240,1.114,0.100,0.954,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.000,6.280,3.800,6.764,3.070,0.542,0,1.493,9.110,#,#,#,#,15,8,57,34,"24,737","2,248.818","2,539","@.br%i.vi.""e.Sn=",9,5,{a--bbrevi--ate}>ion>,"{@-.-br%i.vi-.-""e.S$}>n=>",4,NN,728.909,-0.024,163.592,33,1.0,714.929,-0.042,149.432,28,1.0, ɐ b ɹ iː v ɪ eɪ ʃ ə n 
abbreviations,13,1,"2,480",7.816,0.200,1.041,0.100,0.954,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.350,6.517,4.100,6.732,#,0.431,0,1.370,9.110,#,#,#,#,#,#,#,#,"26,593","2,216.083","2,600","@.br%i.vi.""e.Sn=z",10,5,{a--bbrevi--ate}>ion>>s>,"{@-.-br%i.vi-.-""e.S$}>n=>>z>",5,NN,729.129,-0.122,218.298,31,0.91,689.480,-0.11,150.876,25,1.0, ɐ b ɹ iː v ɪ eɪ ʃ ə n z 
abdicate,8,#,118,4.771,0.180,1.000,0.110,1.000,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,2.800,6.427,2.850,5.818,2.080,0.413,0,#,12.600,#,#,#,#,3,2,13,8,"15,568","2,224.000","2,032","""ab.d@.ket",7,3,{abdicate},"{""ab.d@.ket}",1,VB,"1,056.000",0.836,475.655,18,0.56,819.909,0.407,239.435,22,0.846, æ b d ᵻ k eɪ t 
abdomen,7,6,"1,279",7.154,3.350,2.236,1.450,2.090,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.000,6.386,3.000,6.090,4.700,0.560,4,1.232,8.610,5.435,5.430,3.680,5.150,20,13,67,33,"8,382","1,397.000",999,"""ab.d@.m@n",7,3,{abdomen},"{""ab.d@.m@n}",1,NN,813.433,0.034,315.227,30,0.88,758.667,-0.019,317.227,27,0.964, æ b d ə m ə n 
abdominal,9,4,850,6.745,3.410,2.243,1.240,2.021,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.750,6.114,4.000,6.655,4.280,0.561,6,1.083,10.240,3.920,4.480,3.500,5.320,4,4,8,7,"15,583","1,947.875","1,818","ab.d""A.m@.nl=",8,4,{abdomin--al},"{ab.d""A.m@.n--l=}",2,JJ,715.548,-0.130,191.242,31,0.94,737.762,0.048,173.608,21,0.875, æ b d ɑː m ɪ n əl 
abduct,6,#,180,5.193,0.710,1.568,0.380,1.518,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,2.500,7.661,2.550,7.192,2.880,0.372,0,#,11.260,1.792,2.420,5.900,2.750,8,2,17,6,"2,962",592.400,498,"@b.d""Vkt",6,2,{ab--duct},"{@b-.-d""Vkt}",2,VB,769.667,0.031,251.224,30,0.88,707.815,-0.211,285.899,27,1.0, ɐ b d ʌ k t 
abduction,9,1,"1,995",7.598,3.630,2.269,1.320,2.049,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,2.700,7.883,2.650,7.537,3.070,0.532,0,1.483,11.940,#,2.050,5.330,3.020,12,5,32,15,"14,853","1,856.625","1,834","@b.d""Vk.Sn=",7,3,{ab--duct}>ion>,"{@b-.-d""Vk.S$}>n=>",3,NN,795.875,0.006,245.026,32,0.94,667.385,-0.318,138.119,26,0.929, ɐ b d ʌ k ʃ ə n 
Abe,3,3,"1,235",7.119,#,#,#,#,9,13,13,5,5,9.2,8.333,8.333,9.116,9.116,8,9.6,1,6.7,0.77,1.250,8.717,1.300,9.772,#,0.559,111,#,#,#,#,#,#,15,4,28,7,"1,864",932.000,171,"""eb",2,1,{abe},"{""eb}",1,NN,820.667,0.075,254.987,33,1.0,625.519,-0.406,116.701,27,1.0, eɪ b 
abed,4,1,143,4.963,0.200,1.041,0.110,1.000,4,4,4,1,1,6.3,7.081,7.081,4.394,4.394,3,6.9,1,4.4,0.79,1.700,7.608,1.800,8.107,#,0.250,0,#,#,#,#,#,#,2,2,2,2,"6,349","2,116.333",320,"@.b""Ed",4,2,{abed},"{@.b""Ed}",1,RB,887.500,0.502,319.020,10,0.29,634.500,-0.4,163.647,26,0.929, ɐ b ɛ d 
Abel,4,20,"1,009",6.917,1.330,1.839,0.290,1.398,2,2,5,0,0,4.7,8.062,9.402,#,#,0,#,2,4.7,1.48,1.800,8.093,1.550,7.814,#,0.562,196,#,#,#,#,#,#,32,1,43,4,"3,598","1,199.333",323,"""e.bl=",3,2,{abel},"{""e.bl=}",1,NN,782.750,-0.238,328.747,20,0.65,713.920,0.198,215.810,25,0.962, eɪ b əl 
Abel's,6,1,52,3.951,#,#,#,#,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,"4,668",933.600,475,"""e.bl=z",4,2,{abel}>'s>,"{""e.bl=}>z>",2,encl,840.143,0.196,333.080,28,0.82,775.840,0.051,217.078,25,0.926, eɪ b əl z 
aberrant,8,5,166,5.112,0.290,1.204,0.150,1.146,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.250,6.594,2.750,6.623,#,0.377,0,1.623,13.310,#,#,#,#,1,1,6,5,"18,215","2,602.143","1,789","@.b""E.r@nt",7,3,{aberr--ant},"{@.b""E.r--@nt}",2,JJ,955.385,0.548,487.309,13,0.38,818.762,0.303,242.098,21,0.75, ɐ b ɛ ɹ ə n t 
aberration,10,3,556,6.321,0.550,1.462,0.310,1.431,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,2.850,6.558,2.550,6.673,#,0.398,0,1.944,12.690,#,#,#,#,3,3,7,7,"27,786","3,087.333","3,381","%a.b@`.r""e.Sn=",7,4,{aberr--ate}>ion>,"{%a.b@`.r--""e.S$}>n=>",3,NN,946.550,0.511,332.941,20,0.62,882.481,0.689,268.790,27,1.0, æ b ɚ ɹ eɪ ʃ ə n 
aberrations,11,5,299,5.7,0.160,0.954,0.100,0.954,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.400,6.497,2.850,6.626,#,0.349,0,#,12.690,#,#,#,#,#,#,#,#,"29,642","2,964.200","3,506","%a.b@`.r""e.Sn=z",8,4,{aberr--ate}>ion>>s>,"{%a.b@`.r--""e.S$}>n=>>z>",4,NN,"1,005.368",0.941,412.323,19,0.58,829.625,0.45,223.190,24,0.889, æ b ɚ ɹ eɪ ʃ ə n z 
abet,4,#,81,4.394,0.100,0.778,0.060,0.778,3,4,4,2,2,5.8,7.559,7.559,5.260,5.260,3,5.8,0,#,0.76,1.750,8.782,1.800,8.501,#,0.284,0,#,12.150,#,#,#,#,3,3,14,11,"3,218","1,072.667",280,"@.b""Et",4,2,{abet},"{@.b""Et}",1,VB,792.000,0.369,221.466,11,0.32,619.136,-0.344,130.365,22,0.815, ɐ b ɛ t 
abetted,7,4,132,4.883,0.160,0.954,0.100,0.954,0,1,1,0,0,#,4.970,4.97,#,#,#,#,#,#,#,2.350,6.436,1.900,6.564,#,0.226,0,1.958,12.150,#,#,#,#,#,#,#,#,"12,770","2,128.333","1,821","@.b""E4.@d",6,3,{abet}>ed>,"{@.b""E4}.>@d>",2,VB,998.500,0.711,372.517,18,0.53,654.625,-0.324,150.418,24,0.857, ɐ b ɛ ɾ ᵻ d 
abeyance,8,3,36,3.584,0.040,0.477,0.020,0.477,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.400,7.060,2.950,6.908,#,0.319,0,1.982,15.000,#,#,#,#,#,#,#,#,"8,727","1,246.714",922,"@.b""e@ns",6,2,{abey--ance},"{@.b""e--@ns}",2,NN,914.000,0.218,179.379,4,0.13,889.750,0.679,285.688,12,0.6, ɐ b eɪ ə n s 
abhor,5,#,383,5.948,0.240,1.114,0.140,1.114,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,2.300,7.675,2.300,7.669,1.810,0.203,0,#,13.760,#,#,#,#,16,10,61,21,"4,962","1,240.500",661,"@b.h""Or",5,2,{abhor},"{@b.h""Or}",1,VB,786.150,0.125,184.399,20,0.57,789.000,0.115,198.834,22,0.815, ɐ b h ɔː ɹ 
abhorred,8,1,87,4.466,0.140,0.903,0.080,0.903,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,2.900,6.490,2.150,8.061,#,0.244,0,#,13.760,#,#,#,#,#,#,#,#,"14,567","2,081.000","1,914","@b.h""Ord",6,2,{abhor}>ed>,"{@b.h""Or}>d>",2,VB,798.444,0.410,154.397,18,0.56,791.882,0.158,215.480,17,0.654, ɐ b h ɔːɹ d 
abhorrent,9,1,366,5.903,0.180,1.000,0.110,1.000,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.650,6.310,2.950,6.389,#,0.258,0,1.779,12.140,#,#,#,#,8,8,27,24,"16,916","2,114.500","1,849","@b.h""Or.@nt",8,3,{abhor}>ent>,"{@b.h""Or$}.>@nt>",2,JJ,794.154,0.252,203.546,13,0.41,781.316,0.31,195.146,19,0.704, ɐ b h ɔ ɹ ə n t 
abide,5,7,"1,967",7.584,2.710,2.143,1.480,2.097,3,3,3,2,2,6.6,6.971,6.971,7.976,7.976,1,9.8,2,5.0,1.15,1.700,7.774,1.850,8.236,1.680,0.438,0,1.934,9.500,1.760,5.520,3.260,5.330,14,13,42,30,"5,069","1,267.250",654,"@.b""aId",4,2,{abide},"{@.b""aId}",1,VB,773.212,-0.175,276.412,33,0.94,633.828,-0.298,145.252,29,1.0, ɐ b aɪ d 
abides,6,2,443,6.094,0.080,0.699,0.040,0.602,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,1.900,7.146,1.950,7.600,#,0.218,0,#,9.500,#,#,#,#,1,1,2,2,"9,558","1,911.600","1,383","@.b""aIdz",5,2,{abide}>s>,"{@.b""aId}>z>",2,VB,750.630,-0.054,221.045,27,0.82,696.222,-0.287,187.424,27,1.0, ɐ b aɪ d z 
abiding,7,5,"1,363",7.217,0.490,1.415,0.290,1.398,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,2.150,7.328,1.950,8.033,2.070,0.369,0,1.727,10.300,#,5.570,3.590,6.600,5,3,10,6,"15,159","2,526.500","2,371","@.b""aI4.IN",6,3,{abide}>ing>,"{@.b""aI4}.>IN>",2,JJ|VB,784.667,0.053,243.053,27,0.82,620.160,-0.362,99.421,25,0.962, ɐ b aɪ d ɪ ŋ 
Abigail,7,2,693,6.541,3.020,2.190,0.510,1.643,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.250,6.823,2.950,6.068,#,0.538,0,#,#,#,#,#,#,1,1,1,1,"5,405",900.833,631,"""a.b@.gel",6,3,{abigail},"{""a.b@.gel}",1,NN,881.115,0.188,361.400,26,0.81,802.154,0.176,284.710,26,1.0, æ b ɪ ɡ eɪ l 
abilities,9,13,"9,029",9.108,6.120,2.495,2.490,2.322,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,2.950,6.448,2.750,6.389,#,0.636,"5,826",1.719,8.840,#,#,#,#,21,4,50,16,"18,498","2,312.250","2,370","@.b""Il.@.4iz",8,4,{able}>ity>>s>,"{@.b""Il$}.>@.4i>>z>",3,NN,657.062,-0.486,257.545,32,0.97,711.815,-0.138,154.382,27,0.964, ɐ b ɪ l ə ɾ i z 
