,,grammatical,number of,number of,graphemic,number of,number of,EQOL,Levenstein,Grapheme-Phoneme segmentation,,,Phoneme-Grapheme segmentation,,,Rime segmentation,,,Rime match frequency,,Ortho-Phono rime consistency,,Phono-Ortho rime consistency,,G-Ph frequency,,Ph-G frequency,,G-Ph consistency,,Ph-G consistency,,Least frequent G-Ph,,Least frequent Ph-G,,Least consistent G-Ph,,Least consistent Ph-G,,Frequency initial G-Ph,,Mean frequency internal G-Ph,,Frequency final G-Ph,,Frequency initial Ph-G,,Mean frequency internal Ph-G,,Frequency final Ph-G,,Consistency initial G-Ph,,Mean consistency internal G-Ph,,Consistency final G-Ph,,Consistency initial Ph-G,,Mean Consistencyinternal Ph-G,,Consistency final Ph-G,
ortho,phono,class,letters,phonemes,complexity,graphemes,syllabes,frequency,OLD20,Grapheme,Phoneme,Match,Grapheme,Phoneme,Match,orthography,phonology,match,Type,Token,Type,Token,Type,Token,Type,Token,Type,Token,Type,Token,type,token,Type,Assoc.,Type,Assoc.,Type,Assoc.,Type,Assoc.,Type,Token,Type,Token,Type,Token,Type,Token,Type,Token,Type,Token,Type,Token,Type,Token,Type,Token,Type,Token,Type,Token,Type,Token
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
à,a,PRE,1,1,1,1,1,18381.86132,1.95,.à,.a,(à-a),.à,.a,(à-a),à,a,à-a,1,18382,25,96.067,3.846,35.155,1,18382,1,18382,100,100,0.099,37.683,1,à-a,1,à-a,100,à-a,0.099,à-a,1,18381.861,0,0,0,0,1,18381.861,0,0,0,0,100,100,,,,,0.099,37.683,,,,
abaisse,abEs,"NC,VER",7,4,1.75,5,2,59.08566,2.3,.a.b.ai.ss.e,.a.b.E.s.°,(a-a.b-b.ai-E.ss-s.e-°),.a.b.ai.sse,.a.b.E.s,(a-a.b-b.ai-E.sse-s),aisse,Es,aisse-Es,7,302,100,100,11.111,24.189,1274,52565,549,16804,98.538,98.004,57.78,46.152,711,ss-s,83,sse-s,94.041,b-b,14.095,ai-E,1012,30398.147,798,21349.732,2962,168375.764,1012,30398.147,550,17267.079,83,2282.578,99.508,96.524,97.728,97.831,100,100,99.901,62.317,56.981,56.249,17.256,9.793
abaisser,abese,VER,8,5,1.6,5,3,12.43909,2.55,.a.b.ai.ss.er,.a.b.e.s.e,(a-a.b-b.ai-e.ss-s.er-e),.a.b.ai.ss.er,.a.b.e.s.e,(a-a.b-b.ai-e.ss-s.er-e),er,e,er-e,632,15089,98.596,94.232,28.571,26.531,670,18174,628,17095,98.245,97,50.593,44.332,32,ai-e,32,ai-e,94.041,b-b,1.673,ai-e,1012,30398.147,511,13603.248,805,19660.067,1012,30398.147,441,11805.793,805,19660.067,99.508,96.524,97.728,97.831,98.531,94.982,99.901,62.317,40.854,39.736,30.504,40.134
abandonnant,ab@dOn@,VER,11,7,1.57,8,4,3.10977,4.3,.a.b.an.d.o.nn.an.t,.a.b.@.d.O.n.@.#,(a-a.b-b.an-@.d-d.o-O.nn-n.an-@.t-#),.a.b.an.d.o.nn.ant,.a.b.@.d.O.n.@,(a-a.b-b.an-@.d-d.o-O.nn-n.ant-@),ant,@,ant-@,298,7768,100,100,34.571,14.148,1232,41172,895,24288,97.265,96.121,71.215,63.112,394,nn-n,244,nn-n,89.393,o-O,19.551,nn-n,1012,30398.147,1131,35403.865,2055,86557.658,1012,30398.147,985,26306.312,331,8088.567,99.508,96.524,96.588,95.641,99.084,98.604,99.901,62.317,72.47,72.039,36.254,19.274
abandonne,ab@dOn,VER,9,6,1.5,7,3,9.32932,3.1,.a.b.an.d.o.nn.e,.a.b.@.d.O.n.°,(a-a.b-b.an-@.d-d.o-O.nn-n.e-°),.a.b.an.d.o.nne,.a.b.@.d.O.n,(a-a.b-b.an-@.d-d.o-O.nne-n),onne,On,onne-On,24,2534,100,100,38.71,60.505,1391,53108,962,26518,97.019,95.768,76.8,69.02,394,nn-n,78,nne-n,89.393,o-O,18.097,nne-n,1012,30398.147,1153,34596.986,2962,168375.764,1012,30398.147,1170,31333.439,78,3374.113,99.508,96.524,95.925,94.77,100,100,99.901,62.317,85.7,84.823,18.097,12.514
abandonné,ab@dOne,"VER,ADJ",9,7,1.29,7,4,12.43909,3.35,.a.b.an.d.o.nn.é,.a.b.@.d.O.n.e,(a-a.b-b.an-@.d-d.o-O.nn-n.é-e),.a.b.an.d.o.nn.é,.a.b.@.d.O.n.e,(a-a.b-b.an-@.d-d.o-O.nn-n.é-e),é,e,é-e,638,12194,100,100,28.843,21.44,1069,30911,948,24989,97.019,95.768,69.847,64.149,394,nn-n,244,nn-n,89.393,o-O,19.551,nn-n,1012,30398.147,1153,34596.986,704,12995.844,1012,30398.147,985,26306.312,704,12995.844,99.508,96.524,95.925,94.77,100,100,99.901,62.317,72.47,72.039,26.677,26.53
abandonnée,ab@dOne,"VER,ADJ",10,7,1.43,8,4,9.32932,3.5,.a.b.an.d.o.nn.é.e,.a.b.@.d.O.n.e.#,(a-a.b-b.an-@.d-d.o-O.nn-n.é-e.e-#),.a.b.an.d.o.nn.ée,.a.b.@.d.O.n.e,(a-a.b-b.an-@.d-d.o-O.nn-n.ée-e),ée,e,ée-e,303,4428,100,100,13.698,7.787,1265,34035,896,23814,86.948,84.29,67.866,61.75,394,nn-n,244,nn-n,16.592,e-#,12.808,ée-e,1012,30398.147,1420,38004.712,591,13854.118,1012,30398.147,985,26306.312,338,4770.442,99.508,96.524,96.58,95.488,16.592,4.866,99.901,62.317,72.47,72.039,12.808,9.738
abandonner,ab@dOne,VER,10,7,1.43,7,4,21.7684,3.5,.a.b.an.d.o.nn.er,.a.b.@.d.O.n.e,(a-a.b-b.an-@.d-d.o-O.nn-n.er-e),.a.b.an.d.o.nn.er,.a.b.@.d.O.n.e,(a-a.b-b.an-@.d-d.o-O.nn-n.er-e),er,e,er-e,632,15089,98.596,94.232,28.571,26.531,1083,31863,963,25941,96.809,95.051,70.394,66.092,394,nn-n,244,nn-n,89.393,o-O,19.551,nn-n,1012,30398.147,1153,34596.986,805,19660.067,1012,30398.147,985,26306.312,805,19660.067,99.508,96.524,95.925,94.77,98.531,94.982,99.901,62.317,72.47,72.039,30.504,40.134
abandonnés,ab@dOne,"VER,ADJ",10,7,1.43,8,4,3.10977,3.7,.a.b.an.d.o.nn.é.s,.a.b.@.d.O.n.e.#,(a-a.b-b.an-@.d-d.o-O.nn-n.é-e.s-#),.a.b.an.d.o.nn.és,.a.b.@.d.O.n.e,(a-a.b-b.an-@.d-d.o-O.nn-n.és-e),és,e,és-e,339,4764,100,100,15.325,8.377,1692,58598,902,23885,97.259,95.772,68.093,61.895,394,nn-n,244,nn-n,89.393,o-O,14.399,és-e,1012,30398.147,1420,38004.712,4002,210357.889,1012,30398.147,985,26306.312,380,5268.017,99.508,96.524,96.58,95.488,99.084,96.724,99.901,62.317,72.47,72.039,14.399,10.754
abaque,abak,NC,6,4,1.5,5,2,6.21954,2.5,.a.b.a.qu.e,.a.b.a.k.°,(a-a.b-b.a-a.qu-k.e-°),.a.b.a.que,.a.b.a.k,(a-a.b-b.a-a.que-k),aque,ak,aque-ak,7,4839,100,100,30.435,84.611,1773,68672,1375,41013,96.61,94.932,87.167,80.795,523,qu-k,155,que-k,91.562,a-a,49.206,que-k,1012,30398.147,1631,48195.441,2962,168375.764,1012,30398.147,2166,60995.331,155,11664.766,99.508,96.524,94.514,92.712,100,100,99.901,62.317,99.781,99.701,49.206,61.462
abaques,abak,NC,7,4,1.75,6,2,6.21954,2.7,.a.b.a.qu.e.s,.a.b.a.k.°.#,(a-a.b-b.a-a.qu-k.e-°.s-#),.a.b.a.ques,.a.b.a.k,(a-a.b-b.a-a.ques-k),aques,ak,aques-ak,3,28,100,100,13.043,0.489,2024,74006,1359,38662,97.023,95.231,82.167,68.404,523,qu-k,92,ques-k,91.562,a-a,29.206,ques-k,1012,30398.147,1783,50820.11,4002,210357.889,1012,30398.147,2166,60995.331,92,2257.707,99.508,96.524,95.886,94.534,99.084,96.724,99.901,62.317,99.781,99.701,29.206,11.896
