ortho,phono,class,letters,phonemes,complexity,graphemes,syllabes,frequency,OLD20,Grapheme,Phoneme,Match,Grapheme.1,Phoneme.1,Match.1,orthography,phonology,match,Type,Token,Type.1,Token.1,Type.2,Token.2,Type.3,Token.3,Type.4,Token.4,Type.5,Token.5,type,token,Type.6,Assoc.,Type.7,Assoc..1,Type.8,Assoc..2,Type.9,Assoc..3,Type.10,Token.6,Type.11,Token.7,Type.12,Token.8,Type.13,Token.9,Type.14,Token.10,Type.15,Token.11,Type.16,Token.12,Type.17,Token.13,Type.18,Token.14,Type.19,Token.15,Type.20,Token.16,Type.21,Token.17,phono_IPA
à,a,PRE,1.0,1.0,1.0,1.0,1.0,18381.86132,1.95,.à,.a,(à-a),.à,.a,(à-a),à,a,à-a,1.0,18382.0,25.0,96.067,3.846,35.155,1.0,18382.0,1.0,18382.0,100.0,100.0,0.099,37.683,1.0,à-a,1.0,à-a,100.0,à-a,0.099,à-a,1.0,18381.861,0.0,0.0,0.0,0.0,1.0,18381.861,0.0,0.0,0.0,0.0,100.0,100.0,,,,,0.099,37.683,,,,,a
abaisse,abEs,"NC,VER",7.0,4.0,1.75,5.0,2.0,59.08566,2.3,.a.b.ai.ss.e,.a.b.E.s.°,(a-a.b-b.ai-E.ss-s.e-°),.a.b.ai.sse,.a.b.E.s,(a-a.b-b.ai-E.sse-s),aisse,Es,aisse-Es,7.0,302.0,100.0,100.0,11.111,24.189,1274.0,52565.0,549.0,16804.0,98.538,98.004,57.78,46.152,711.0,ss-s,83.0,sse-s,94.041,b-b,14.095,ai-E,1012.0,30398.147,798.0,21349.732,2962.0,168375.764,1012.0,30398.147,550.0,17267.079,83.0,2282.578,99.508,96.524,97.728,97.831,100.0,100.0,99.901,62.317,56.981,56.249,17.256,9.793,a b ɛ s
abaisser,abese,VER,8.0,5.0,1.6,5.0,3.0,12.43909,2.55,.a.b.ai.ss.er,.a.b.e.s.e,(a-a.b-b.ai-e.ss-s.er-e),.a.b.ai.ss.er,.a.b.e.s.e,(a-a.b-b.ai-e.ss-s.er-e),er,e,er-e,632.0,15089.0,98.596,94.232,28.571,26.531,670.0,18174.0,628.0,17095.0,98.245,97.0,50.593,44.332,32.0,ai-e,32.0,ai-e,94.041,b-b,1.673,ai-e,1012.0,30398.147,511.0,13603.248,805.0,19660.067,1012.0,30398.147,441.0,11805.793,805.0,19660.067,99.508,96.524,97.728,97.831,98.531,94.982,99.901,62.317,40.854,39.736,30.504,40.134,a b e s e
abandonnant,ab@dOn@,VER,11.0,7.0,1.57,8.0,4.0,3.10977,4.3,.a.b.an.d.o.nn.an.t,.a.b.@.d.O.n.@.#,(a-a.b-b.an-@.d-d.o-O.nn-n.an-@.t-#),.a.b.an.d.o.nn.ant,.a.b.@.d.O.n.@,(a-a.b-b.an-@.d-d.o-O.nn-n.ant-@),ant,@,ant-@,298.0,7768.0,100.0,100.0,34.571,14.148,1232.0,41172.0,895.0,24288.0,97.265,96.121,71.215,63.112,394.0,nn-n,244.0,nn-n,89.393,o-O,19.551,nn-n,1012.0,30398.147,1131.0,35403.865,2055.0,86557.658,1012.0,30398.147,985.0,26306.312,331.0,8088.567,99.508,96.524,96.588,95.641,99.084,98.604,99.901,62.317,72.47,72.039,36.254,19.274,a b ɑ̃ d ɔ n ɑ̃
abandonne,ab@dOn,VER,9.0,6.0,1.5,7.0,3.0,9.32932,3.1,.a.b.an.d.o.nn.e,.a.b.@.d.O.n.°,(a-a.b-b.an-@.d-d.o-O.nn-n.e-°),.a.b.an.d.o.nne,.a.b.@.d.O.n,(a-a.b-b.an-@.d-d.o-O.nne-n),onne,On,onne-On,24.0,2534.0,100.0,100.0,38.71,60.505,1391.0,53108.0,962.0,26518.0,97.019,95.768,76.8,69.02,394.0,nn-n,78.0,nne-n,89.393,o-O,18.097,nne-n,1012.0,30398.147,1153.0,34596.986,2962.0,168375.764,1012.0,30398.147,1170.0,31333.439,78.0,3374.113,99.508,96.524,95.925,94.77,100.0,100.0,99.901,62.317,85.7,84.823,18.097,12.514,a b ɑ̃ d ɔ n
abandonné,ab@dOne,"VER,ADJ",9.0,7.0,1.29,7.0,4.0,12.43909,3.35,.a.b.an.d.o.nn.é,.a.b.@.d.O.n.e,(a-a.b-b.an-@.d-d.o-O.nn-n.é-e),.a.b.an.d.o.nn.é,.a.b.@.d.O.n.e,(a-a.b-b.an-@.d-d.o-O.nn-n.é-e),é,e,é-e,638.0,12194.0,100.0,100.0,28.843,21.44,1069.0,30911.0,948.0,24989.0,97.019,95.768,69.847,64.149,394.0,nn-n,244.0,nn-n,89.393,o-O,19.551,nn-n,1012.0,30398.147,1153.0,34596.986,704.0,12995.844,1012.0,30398.147,985.0,26306.312,704.0,12995.844,99.508,96.524,95.925,94.77,100.0,100.0,99.901,62.317,72.47,72.039,26.677,26.53,a b ɑ̃ d ɔ n e
abandonnée,ab@dOne,"VER,ADJ",10.0,7.0,1.43,8.0,4.0,9.32932,3.5,.a.b.an.d.o.nn.é.e,.a.b.@.d.O.n.e.#,(a-a.b-b.an-@.d-d.o-O.nn-n.é-e.e-#),.a.b.an.d.o.nn.ée,.a.b.@.d.O.n.e,(a-a.b-b.an-@.d-d.o-O.nn-n.ée-e),ée,e,ée-e,303.0,4428.0,100.0,100.0,13.698,7.787,1265.0,34035.0,896.0,23814.0,86.948,84.29,67.866,61.75,394.0,nn-n,244.0,nn-n,16.592,e-#,12.808,ée-e,1012.0,30398.147,1420.0,38004.712,591.0,13854.118,1012.0,30398.147,985.0,26306.312,338.0,4770.442,99.508,96.524,96.58,95.488,16.592,4.866,99.901,62.317,72.47,72.039,12.808,9.738,a b ɑ̃ d ɔ n e
abandonner,ab@dOne,VER,10.0,7.0,1.43,7.0,4.0,21.7684,3.5,.a.b.an.d.o.nn.er,.a.b.@.d.O.n.e,(a-a.b-b.an-@.d-d.o-O.nn-n.er-e),.a.b.an.d.o.nn.er,.a.b.@.d.O.n.e,(a-a.b-b.an-@.d-d.o-O.nn-n.er-e),er,e,er-e,632.0,15089.0,98.596,94.232,28.571,26.531,1083.0,31863.0,963.0,25941.0,96.809,95.051,70.394,66.092,394.0,nn-n,244.0,nn-n,89.393,o-O,19.551,nn-n,1012.0,30398.147,1153.0,34596.986,805.0,19660.067,1012.0,30398.147,985.0,26306.312,805.0,19660.067,99.508,96.524,95.925,94.77,98.531,94.982,99.901,62.317,72.47,72.039,30.504,40.134,a b ɑ̃ d ɔ n e
abandonnés,ab@dOne,"VER,ADJ",10.0,7.0,1.43,8.0,4.0,3.10977,3.7,.a.b.an.d.o.nn.é.s,.a.b.@.d.O.n.e.#,(a-a.b-b.an-@.d-d.o-O.nn-n.é-e.s-#),.a.b.an.d.o.nn.és,.a.b.@.d.O.n.e,(a-a.b-b.an-@.d-d.o-O.nn-n.és-e),és,e,és-e,339.0,4764.0,100.0,100.0,15.325,8.377,1692.0,58598.0,902.0,23885.0,97.259,95.772,68.093,61.895,394.0,nn-n,244.0,nn-n,89.393,o-O,14.399,és-e,1012.0,30398.147,1420.0,38004.712,4002.0,210357.889,1012.0,30398.147,985.0,26306.312,380.0,5268.017,99.508,96.524,96.58,95.488,99.084,96.724,99.901,62.317,72.47,72.039,14.399,10.754,a b ɑ̃ d ɔ n e
abaque,abak,NC,6.0,4.0,1.5,5.0,2.0,6.21954,2.5,.a.b.a.qu.e,.a.b.a.k.°,(a-a.b-b.a-a.qu-k.e-°),.a.b.a.que,.a.b.a.k,(a-a.b-b.a-a.que-k),aque,ak,aque-ak,7.0,4839.0,100.0,100.0,30.435,84.611,1773.0,68672.0,1375.0,41013.0,96.61,94.932,87.167,80.795,523.0,qu-k,155.0,que-k,91.562,a-a,49.206,que-k,1012.0,30398.147,1631.0,48195.441,2962.0,168375.764,1012.0,30398.147,2166.0,60995.331,155.0,11664.766,99.508,96.524,94.514,92.712,100.0,100.0,99.901,62.317,99.781,99.701,49.206,61.462,a b a k
